,kategori,gejala,gejala_tokens,gejala_tokens_fdist,gejala_tokens_WSW,gejala_tokens_stemmed
156,kulit dan kelamin,atau bengkak benjolan bernanah bintik gatal,"['atau', 'bengkak', 'benjolan', 'bernanah', 'bintik', 'gatal']",<FreqDist with 6 samples and 6 outcomes>,"['bengkak', 'benjolan', 'bernanah', 'bintik', 'gatal']","['bengkak', 'benjol', 'nanah', 'bintik', 'gatal']"
157,kanker,bengkak di mati menelan rahang rasa sekitar sulit wajah,"['bengkak', 'di', 'mati', 'menelan', 'rahang', 'rasa', 'sekitar', 'sulit', 'wajah']",<FreqDist with 9 samples and 9 outcomes>,"['bengkak', 'mati', 'menelan', 'rahang', 'sulit', 'wajah']","['bengkak', 'mati', 'tel', 'rahang', 'sulit', 'wajah']"
158,perut,mual muntah nyeri perut,"['mual', 'muntah', 'nyeri', 'perut']",<FreqDist with 4 samples and 4 outcomes>,"['mual', 'muntah', 'nyeri', 'perut']","['mual', 'muntah', 'nyeri', 'perut']"
159,infeksi,agresif berbusa demam kepala manusia mulut pada perilaku sakit,"['agresif', 'berbusa', 'demam', 'kepala', 'manusia', 'mulut', 'pada', 'perilaku', 'sakit']",<FreqDist with 9 samples and 9 outcomes>,"['agresif', 'berbusa', 'demam', 'kepala', 'manusia', 'mulut', 'perilaku']","['agresif', 'busa', 'demam', 'kepala', 'manusia', 'mulut', 'perilaku']"
160,kanker,dari demam gusi pendarahan sakit tulang,"['dari', 'demam', 'gusi', 'pendarahan', 'sakit', 'tulang']",<FreqDist with 6 samples and 6 outcomes>,"['demam', 'gusi', 'pendarahan', 'tulang']","['demam', 'gusi', 'darah', 'tulang']"
161,kanker,air atau baru bayi berukuran besar bisa buang kecil lahir rahim tidak yang,"['air', 'atau', 'baru', 'bayi', 'berukuran', 'besar', 'bisa', 'buang', 'kecil', 'lahir', 'rahim', 'tidak', 'yang']",<FreqDist with 13 samples and 13 outcomes>,"['air', 'bayi', 'berukuran', 'buang', 'lahir', 'rahim']","['air', 'bayi', 'ukur', 'buang', 'lahir', 'rahim']"
162,perut,atau cairan hati ke kesulitan makanan menelan mulut naiknya nyeri ulu,"['atau', 'cairan', 'hati', 'ke', 'kesulitan', 'makanan', 'menelan', 'mulut', 'naiknya', 'nyeri', 'ulu']",<FreqDist with 11 samples and 11 outcomes>,"['cairan', 'hati', 'kesulitan', 'makanan', 'menelan', 'mulut', 'naiknya', 'nyeri', 'ulu']","['cair', 'hati', 'sulit', 'makan', 'tel', 'mulut', 'naik', 'nyeri', 'ulu']"
163,kulit dan kelamin,benjolan dan disentuh hitam kecil komedo merah nyeri putih saat,"['benjolan', 'dan', 'disentuh', 'hitam', 'kecil', 'komedo', 'merah', 'nyeri', 'putih', 'saat']",<FreqDist with 10 samples and 10 outcomes>,"['benjolan', 'disentuh', 'hitam', 'komedo', 'merah', 'nyeri', 'putih']","['benjol', 'sentuh', 'hitam', 'komedo', 'merah', 'nyeri', 'putih']"
164,kulit dan kelamin,area atau benjolan bercak berwarna dengan di gatal kemerahan mulut pada permukaan putih rata ruam ungu,"['area', 'atau', 'benjolan', 'bercak', 'berwarna', 'dengan', 'di', 'gatal', 'kemerahan', 'mulut', 'pada', 'permukaan', 'putih', 'rata', 'ruam', 'ungu']",<FreqDist with 16 samples and 16 outcomes>,"['area', 'benjolan', 'bercak', 'berwarna', 'gatal', 'kemerahan', 'mulut', 'permukaan', 'putih', 'ruam', 'ungu']","['area', 'benjol', 'bercak', 'warna', 'gatal', 'merah', 'mulut', 'muka', 'putih', 'ruam', 'ungu']"
165,perut,cepat darah kebingungan lelah muntah,"['cepat', 'darah', 'kebingungan', 'lelah', 'muntah']",<FreqDist with 5 samples and 5 outcomes>,"['cepat', 'darah', 'kebingungan', 'lelah', 'muntah']","['cepat', 'darah', 'bingung', 'lelah', 'muntah']"
166,jantung,bercak biru cepat detak jantung kulit napas pada sianosis terlalu,"['bercak', 'biru', 'cepat', 'detak', 'jantung', 'kulit', 'napas', 'pada', 'sianosis', 'terlalu']",<FreqDist with 10 samples and 10 outcomes>,"['bercak', 'biru', 'cepat', 'detak', 'jantung', 'kulit', 'napas', 'sianosis']","['bercak', 'biru', 'cepat', 'detak', 'jantung', 'kulit', 'napas', 'sianosis']"
167,infeksi,atau kram mual muntah nyeri perut,"['atau', 'kram', 'mual', 'muntah', 'nyeri', 'perut']",<FreqDist with 6 samples and 6 outcomes>,"['kram', 'mual', 'muntah', 'nyeri', 'perut']","['kram', 'mual', 'muntah', 'nyeri', 'perut']"
168,kepala,atas kecil kelopak keringat lebih mata pada pupil satu sedikit sisi turun wajah yang,"['atas', 'kecil', 'kelopak', 'keringat', 'lebih', 'mata', 'pada', 'pupil', 'satu', 'sedikit', 'sisi', 'turun', 'wajah', 'yang']",<FreqDist with 14 samples and 14 outcomes>,"['kelopak', 'keringat', 'mata', 'pupil', 'sisi', 'turun', 'wajah']","['kelopak', 'keringat', 'mata', 'pupil', 'sisi', 'turun', 'wajah']"
169,infeksi,demam kepala menggigil parah sakit yang,"['demam', 'kepala', 'menggigil', 'parah', 'sakit', 'yang']",<FreqDist with 6 samples and 6 outcomes>,"['demam', 'kepala', 'menggigil', 'parah']","['demam', 'kepala', 'gigil', 'parah']"
170,kanker,kulit memar mudah napas pucat sesak,"['kulit', 'memar', 'mudah', 'napas', 'pucat', 'sesak']",<FreqDist with 6 samples and 6 outcomes>,"['kulit', 'memar', 'mudah', 'napas', 'pucat', 'sesak']","['kulit', 'memar', 'mudah', 'napas', 'pucat', 'sesak']"
171,kepala,berjalan bicara dan jatuh menelan mudah sulit susah,"['berjalan', 'bicara', 'dan', 'jatuh', 'menelan', 'mudah', 'sulit', 'susah']",<FreqDist with 8 samples and 8 outcomes>,"['berjalan', 'bicara', 'jatuh', 'menelan', 'mudah', 'sulit', 'susah']","['jalan', 'bicara', 'jatuh', 'tel', 'mudah', 'sulit', 'susah']"
172,infeksi,bening getah kelenjar lelah lesu nyeri otot pembengkakan,"['bening', 'getah', 'kelenjar', 'lelah', 'lesu', 'nyeri', 'otot', 'pembengkakan']",<FreqDist with 8 samples and 8 outcomes>,"['bening', 'getah', 'kelenjar', 'lelah', 'lesu', 'nyeri', 'otot', 'pembengkakan']","['bening', 'getah', 'kelenjar', 'lelah', 'lesu', 'nyeri', 'otot', 'bengkak']"
173,kulit dan kelamin,atau infeksi kulit pada perubahan sakit tekstur ulkus warna,"['atau', 'infeksi', 'kulit', 'pada', 'perubahan', 'sakit', 'tekstur', 'ulkus', 'warna']",<FreqDist with 9 samples and 9 outcomes>,"['infeksi', 'kulit', 'perubahan', 'tekstur', 'ulkus', 'warna']","['infeksi', 'kulit', 'ubah', 'tekstur', 'ulkus', 'warna']"
174,kulit dan kelamin,berbau berubah dan keputihan sedap tidak warna,"['berbau', 'berubah', 'dan', 'keputihan', 'sedap', 'tidak', 'warna']",<FreqDist with 7 samples and 7 outcomes>,"['berbau', 'berubah', 'keputihan', 'sedap', 'warna']","['bau', 'ubah', 'putih', 'sedap', 'warna']"
175,kulit dan kelamin,atau bentuk beraturan bercak oval putih tidak,"['atau', 'bentuk', 'beraturan', 'bercak', 'oval', 'putih', 'tidak']",<FreqDist with 7 samples and 7 outcomes>,"['bentuk', 'beraturan', 'bercak', 'oval', 'putih']","['bentuk', 'atur', 'bercak', 'oval', 'putih']"
176,kepala,atau bagian belakang datar di kepala nampak salah satu sejajar sisi tak telinga tidak ubun yang,"['atau', 'bagian', 'belakang', 'datar', 'di', 'kepala', 'nampak', 'salah', 'satu', 'sejajar', 'sisi', 'tak', 'telinga', 'tidak', 'ubun', 'yang']",<FreqDist with 16 samples and 16 outcomes>,"['datar', 'kepala', 'nampak', 'salah', 'sejajar', 'sisi', 'telinga', 'ubun']","['datar', 'kepala', 'nampak', 'salah', 'sejajar', 'sisi', 'telinga', 'ubun']"
177,infeksi,dan flu gejala gelap keruh mirip perut sakit urine yang,"['dan', 'flu', 'gejala', 'gelap', 'keruh', 'mirip', 'perut', 'sakit', 'urine', 'yang']",<FreqDist with 10 samples and 10 outcomes>,"['flu', 'gejala', 'gelap', 'keruh', 'perut', 'urine']","['flu', 'gejala', 'gelap', 'keruh', 'perut', 'urine']"
178,jantung,cepat dada detak jantung napas nyeri sesak,"['cepat', 'dada', 'detak', 'jantung', 'napas', 'nyeri', 'sesak']",<FreqDist with 7 samples and 7 outcomes>,"['cepat', 'dada', 'detak', 'jantung', 'napas', 'nyeri', 'sesak']","['cepat', 'dada', 'detak', 'jantung', 'napas', 'nyeri', 'sesak']"
179,infeksi,diare mual muntah,"['diare', 'mual', 'muntah']",<FreqDist with 3 samples and 3 outcomes>,"['diare', 'mual', 'muntah']","['diare', 'mual', 'muntah']"
180,kulit dan kelamin,area benjolan berbentuk berwarna coklat dan datar di gatal halus kelamin keunguan kutil nyeri padat panas rasa,"['area', 'benjolan', 'berbentuk', 'berwarna', 'coklat', 'dan', 'datar', 'di', 'gatal', 'halus', 'kelamin', 'keunguan', 'kutil', 'nyeri', 'padat', 'panas', 'rasa']",<FreqDist with 17 samples and 17 outcomes>,"['area', 'benjolan', 'berbentuk', 'berwarna', 'coklat', 'datar', 'gatal', 'halus', 'kelamin', 'keunguan', 'kutil', 'nyeri', 'padat', 'panas']","['area', 'benjol', 'bentuk', 'warna', 'coklat', 'datar', 'gatal', 'halus', 'kelamin', 'ungu', 'kutil', 'nyeri', 'padat', 'panas']"
181,kepala,dan di infeksi kurang menderita mineral mulut protein,"['dan', 'di', 'infeksi', 'kurang', 'menderita', 'mineral', 'mulut', 'protein']",<FreqDist with 8 samples and 8 outcomes>,"['infeksi', 'menderita', 'mineral', 'mulut', 'protein']","['infeksi', 'derita', 'mineral', 'mulut', 'protein']"
182,kulit dan kelamin,berdenyut di menyengat nyeri sensasi terbakar vulva,"['berdenyut', 'di', 'menyengat', 'nyeri', 'sensasi', 'terbakar', 'vulva']",<FreqDist with 7 samples and 7 outcomes>,"['berdenyut', 'menyengat', 'nyeri', 'sensasi', 'terbakar', 'vulva']","['denyut', 'sengat', 'nyeri', 'sensasi', 'bakar', 'vulva']"
183,kulit dan kelamin,benjolan dagu dan di hidung kecil pipi putih sekitar,"['benjolan', 'dagu', 'dan', 'di', 'hidung', 'kecil', 'pipi', 'putih', 'sekitar']",<FreqDist with 9 samples and 9 outcomes>,"['benjolan', 'dagu', 'hidung', 'pipi', 'putih']","['benjol', 'dagu', 'hidung', 'pipi', 'putih']"
184,kanker,batuk dada dekat di napas nyeri rusuk sesak tulang,"['batuk', 'dada', 'dekat', 'di', 'napas', 'nyeri', 'rusuk', 'sesak', 'tulang']",<FreqDist with 9 samples and 9 outcomes>,"['batuk', 'dada', 'napas', 'nyeri', 'rusuk', 'sesak', 'tulang']","['batuk', 'dada', 'napas', 'nyeri', 'rusuk', 'sesak', 'tulang']"
185,perut,bab dan dari kali keras kering kurang lebih mengejan saat seminggu tiga tinja,"['bab', 'dan', 'dari', 'kali', 'keras', 'kering', 'kurang', 'lebih', 'mengejan', 'saat', 'seminggu', 'tiga', 'tinja']",<FreqDist with 13 samples and 13 outcomes>,"['bab', 'kali', 'keras', 'kering', 'mengejan', 'seminggu', 'tinja']","['bab', 'kali', 'keras', 'kering', 'ejan', 'minggu', 'tinja']"
186,kulit dan kelamin,benjolan kasar kering kulit pada tipis,"['benjolan', 'kasar', 'kering', 'kulit', 'pada', 'tipis']",<FreqDist with 6 samples and 6 outcomes>,"['benjolan', 'kasar', 'kering', 'kulit', 'tipis']","['benjol', 'kasar', 'kering', 'kulit', 'tipis']"
187,kulit dan kelamin,berhubungan berulang infeksi kemih nyeri pada panas saat saluran seksual sensasi vagina,"['berhubungan', 'berulang', 'infeksi', 'kemih', 'nyeri', 'pada', 'panas', 'saat', 'saluran', 'seksual', 'sensasi', 'vagina']",<FreqDist with 12 samples and 12 outcomes>,"['berhubungan', 'berulang', 'infeksi', 'kemih', 'nyeri', 'panas', 'saluran', 'seksual', 'sensasi', 'vagina']","['hubung', 'ulang', 'infeksi', 'kemih', 'nyeri', 'panas', 'salur', 'seksual', 'sensasi', 'vagina']"
188,kulit dan kelamin,air buang kecil kepala mengembang nyeri pada pembengkakan penis saat,"['air', 'buang', 'kecil', 'kepala', 'mengembang', 'nyeri', 'pada', 'pembengkakan', 'penis', 'saat']",<FreqDist with 10 samples and 10 outcomes>,"['air', 'buang', 'kepala', 'mengembang', 'nyeri', 'pembengkakan', 'penis']","['air', 'buang', 'kepala', 'kembang', 'nyeri', 'bengkak', 'penis']"
189,infeksi,demam kepala peal pegal sakit,"['demam', 'kepala', 'peal', 'pegal', 'sakit']",<FreqDist with 5 samples and 5 outcomes>,"['demam', 'kepala', 'peal', 'pegal']","['demam', 'kepala', 'peal', 'pegal']"
190,infeksi,berair demam hidung ruam,"['berair', 'demam', 'hidung', 'ruam']",<FreqDist with 4 samples and 4 outcomes>,"['berair', 'demam', 'hidung', 'ruam']","['air', 'demam', 'hidung', 'ruam']"
191,kulit dan kelamin,atau bibir demam di kelamin luka nyeri,"['atau', 'bibir', 'demam', 'di', 'kelamin', 'luka', 'nyeri']",<FreqDist with 7 samples and 7 outcomes>,"['bibir', 'demam', 'kelamin', 'luka', 'nyeri']","['bibir', 'demam', 'kelamin', 'luka', 'nyeri']"
192,perut,berdarah buncit feses membengkak perut,"['berdarah', 'buncit', 'feses', 'membengkak', 'perut']",<FreqDist with 5 samples and 5 outcomes>,"['berdarah', 'buncit', 'feses', 'membengkak', 'perut']","['darah', 'buncit', 'feses', 'bengkak', 'perut']"
193,infeksi,demam diare mual nyeri otot,"['demam', 'diare', 'mual', 'nyeri', 'otot']",<FreqDist with 5 samples and 5 outcomes>,"['demam', 'diare', 'mual', 'nyeri', 'otot']","['demam', 'diare', 'mual', 'nyeri', 'otot']"
194,jantung,atau berdegup cepat detak jantung kencang terlalu yang,"['atau', 'berdegup', 'cepat', 'detak', 'jantung', 'kencang', 'terlalu', 'yang']",<FreqDist with 8 samples and 8 outcomes>,"['berdegup', 'cepat', 'detak', 'jantung', 'kencang']","['degup', 'cepat', 'detak', 'jantung', 'kencang']"
195,perut,air besar buang gangguan lapar makan merasa muntah sering setelah,"['air', 'besar', 'buang', 'gangguan', 'lapar', 'makan', 'merasa', 'muntah', 'sering', 'setelah']",<FreqDist with 10 samples and 10 outcomes>,"['air', 'buang', 'gangguan', 'lapar', 'makan', 'muntah']","['air', 'buang', 'ganggu', 'lapar', 'makan', 'muntah']"
196,perut,bab berdarah diare nyeri saat,"['bab', 'berdarah', 'diare', 'nyeri', 'saat']",<FreqDist with 5 samples and 5 outcomes>,"['bab', 'berdarah', 'diare', 'nyeri']","['bab', 'darah', 'diare', 'nyeri']"
197,kanker,atau benjolan bentuk berdarah berubah bisa dan kulit lalat luka padat seperti tahi tampak ukuran warna yang,"['atau', 'benjolan', 'bentuk', 'berdarah', 'berubah', 'bisa', 'dan', 'kulit', 'lalat', 'luka', 'padat', 'seperti', 'tahi', 'tampak', 'ukuran', 'warna', 'yang']",<FreqDist with 17 samples and 17 outcomes>,"['benjolan', 'bentuk', 'berdarah', 'berubah', 'kulit', 'lalat', 'luka', 'padat', 'tahi', 'ukuran', 'warna']","['benjol', 'bentuk', 'darah', 'ubah', 'kulit', 'lalat', 'luka', 'padat', 'tahi', 'ukur', 'warna']"
198,perut,dan darah lendir pada sembelit tinja,"['dan', 'darah', 'lendir', 'pada', 'sembelit', 'tinja']",<FreqDist with 6 samples and 6 outcomes>,"['darah', 'lendir', 'sembelit', 'tinja']","['darah', 'lendir', 'sembelit', 'tinja']"
199,kepala,atau  dan dari demam gemeter hebat kaki lebih menyentakkan pingsan tangan,"['atau', 'dan', 'dari', 'demam', 'gemeter', 'hebat', 'kaki', 'lebih', 'menyentakkan', 'pingsan', 'tangan']",<FreqDist with 11 samples and 11 outcomes>,"['demam', 'gemeter', 'hebat', 'kaki', 'menyentakkan', 'pingsan', 'tangan']","['demam', 'gemeter', 'hebat', 'kaki', 'sentak', 'pingsan', 'tangan']"
200,kepala,kesulitan makan menelan perkembangan terganggu,"['kesulitan', 'makan', 'menelan', 'perkembangan', 'terganggu']",<FreqDist with 5 samples and 5 outcomes>,"['kesulitan', 'makan', 'menelan', 'perkembangan', 'terganggu']","['sulit', 'makan', 'tel', 'kembang', 'ganggu']"
201,infeksi,kaku kejang laher otot rahang,"['kaku', 'kejang', 'laher', 'otot', 'rahang']",<FreqDist with 5 samples and 5 outcomes>,"['kaku', 'kejang', 'laher', 'otot', 'rahang']","['kaku', 'kejang', 'laher', 'otot', 'rahang']"
202,perut,atau darah hipertensi nyeri pada pinggang punggung urine,"['atau', 'darah', 'hipertensi', 'nyeri', 'pada', 'pinggang', 'punggung', 'urine']",<FreqDist with 8 samples and 8 outcomes>,"['darah', 'hipertensi', 'nyeri', 'pinggang', 'punggung', 'urine']","['darah', 'hipertensi', 'nyeri', 'pinggang', 'punggung', 'urine']"
203,infeksi,atau berbicara gatal kesulitan makin menelan nyeri parah saat sakit tenggorokan,"['atau', 'berbicara', 'gatal', 'kesulitan', 'makin', 'menelan', 'nyeri', 'parah', 'saat', 'sakit', 'tenggorokan']",<FreqDist with 11 samples and 11 outcomes>,"['berbicara', 'gatal', 'kesulitan', 'menelan', 'nyeri', 'parah', 'tenggorokan']","['bicara', 'gatal', 'sulit', 'tel', 'nyeri', 'parah', 'tenggorok']"
204,perut,di kembung nyaman perut rasa sendawa sering tidak,"['di', 'kembung', 'nyaman', 'perut', 'rasa', 'sendawa', 'sering', 'tidak']",<FreqDist with 8 samples and 8 outcomes>,"['kembung', 'nyaman', 'perut', 'sendawa']","['kembung', 'nyaman', 'perut', 'sendawa']"
205,infeksi,cepat darah kesadaran napas penurunan rendah tekanan,"['cepat', 'darah', 'kesadaran', 'napas', 'penurunan', 'rendah', 'tekanan']",<FreqDist with 7 samples and 7 outcomes>,"['cepat', 'darah', 'kesadaran', 'napas', 'penurunan', 'rendah', 'tekanan']","['cepat', 'darah', 'sadar', 'napas', 'turun', 'rendah', 'tekan']"
206,pernapasan,batuk berdahak demam napas sesak,"['batuk', 'berdahak', 'demam', 'napas', 'sesak']",<FreqDist with 5 samples and 5 outcomes>,"['batuk', 'berdahak', 'demam', 'napas', 'sesak']","['batuk', 'dahak', 'demam', 'napas', 'sesak']"
207,kulit dan kelamin,bentol gatal kemerahan ruam,"['bentol', 'gatal', 'kemerahan', 'ruam']",<FreqDist with 4 samples and 4 outcomes>,"['bentol', 'gatal', 'kemerahan', 'ruam']","['bentol', 'gatal', 'merah', 'ruam']"
208,infeksi,benjolan di kecil kemerahan kulit rasa terbakar wajah,"['benjolan', 'di', 'kecil', 'kemerahan', 'kulit', 'rasa', 'terbakar', 'wajah']",<FreqDist with 8 samples and 8 outcomes>,"['benjolan', 'kemerahan', 'kulit', 'terbakar', 'wajah']","['benjol', 'merah', 'kulit', 'bakar', 'wajah']"
209,jantung,beraturan cepat dada dan detak jantung lelah mudah nyeri tidak,"['beraturan', 'cepat', 'dada', 'dan', 'detak', 'jantung', 'lelah', 'mudah', 'nyeri', 'tidak']",<FreqDist with 10 samples and 10 outcomes>,"['beraturan', 'cepat', 'dada', 'detak', 'jantung', 'lelah', 'mudah', 'nyeri']","['atur', 'cepat', 'dada', 'detak', 'jantung', 'lelah', 'mudah', 'nyeri']"
210,kanker,atau demam infeksi lelah menerus menggigil sering terus,"['atau', 'demam', 'infeksi', 'lelah', 'menerus', 'menggigil', 'sering', 'terus']",<FreqDist with 8 samples and 8 outcomes>,"['demam', 'infeksi', 'lelah', 'menerus', 'menggigil']","['demam', 'infeksi', 'lelah', 'terus', 'gigil']"
211,perut,atau bawah dan di ke kram menerus menyebar nyeri paha perut punggung terus tumpul,"['atau', 'bawah', 'dan', 'di', 'ke', 'kram', 'menerus', 'menyebar', 'nyeri', 'paha', 'perut', 'punggung', 'terus', 'tumpul']",<FreqDist with 14 samples and 14 outcomes>,"['kram', 'menerus', 'menyebar', 'nyeri', 'paha', 'perut', 'punggung', 'tumpul']","['kram', 'terus', 'sebar', 'nyeri', 'paha', 'perut', 'punggung', 'tumpul']"
212,perut,di hati kembung mual nyaman nyeri rasa tidak ulu,"['di', 'hati', 'kembung', 'mual', 'nyaman', 'nyeri', 'rasa', 'tidak', 'ulu']",<FreqDist with 9 samples and 9 outcomes>,"['hati', 'kembung', 'mual', 'nyaman', 'nyeri', 'ulu']","['hati', 'kembung', 'mual', 'nyaman', 'nyeri', 'ulu']"
213,perut,berlebihan dan gatal kulit kuning mata yang,"['berlebihan', 'dan', 'gatal', 'kulit', 'kuning', 'mata', 'yang']",<FreqDist with 7 samples and 7 outcomes>,"['gatal', 'kulit', 'kuning', 'mata']","['gatal', 'kulit', 'kuning', 'mata']"
214,kulit dan kelamin,cokelat cukup gatal hingga kulit lebar merah muda muncul pecah ruam yang,"['cokelat', 'cukup', 'gatal', 'hingga', 'kulit', 'lebar', 'merah', 'muda', 'muncul', 'pecah', 'ruam', 'yang']",<FreqDist with 12 samples and 12 outcomes>,"['cokelat', 'gatal', 'kulit', 'lebar', 'merah', 'muda', 'muncul', 'pecah', 'ruam']","['cokelat', 'gatal', 'kulit', 'lebar', 'merah', 'muda', 'muncul', 'pecah', 'ruam']"
215,infeksi,atau bawah berbau berkemih berwarna dan hijau keputihan kuning nyeri perut,"['atau', 'bawah', 'berbau', 'berkemih', 'berwarna', 'dan', 'hijau', 'keputihan', 'kuning', 'nyeri', 'perut']",<FreqDist with 11 samples and 11 outcomes>,"['berbau', 'berkemih', 'berwarna', 'hijau', 'keputihan', 'kuning', 'nyeri', 'perut']","['bau', 'kemih', 'warna', 'hijau', 'putih', 'kuning', 'nyeri', 'perut']"
216,kulit dan kelamin,berminyak di kemerahan kepala kerak kulit muncul tebal,"['berminyak', 'di', 'kemerahan', 'kepala', 'kerak', 'kulit', 'muncul', 'tebal']",<FreqDist with 8 samples and 8 outcomes>,"['berminyak', 'kemerahan', 'kepala', 'kerak', 'kulit', 'muncul', 'tebal']","['minyak', 'merah', 'kepala', 'kerak', 'kulit', 'muncul', 'tebal']"
217,kepala,demam kepala muntah sakit,"['demam', 'kepala', 'muntah', 'sakit']",<FreqDist with 4 samples and 4 outcomes>,"['demam', 'kepala', 'muntah']","['demam', 'kepala', 'muntah']"
218,kulit dan kelamin,abnormal bentuk keluar normal penis secara tidak urine,"['abnormal', 'bentuk', 'keluar', 'normal', 'penis', 'secara', 'tidak', 'urine']",<FreqDist with 8 samples and 8 outcomes>,"['abnormal', 'bentuk', 'normal', 'penis', 'urine']","['abnormal', 'bentuk', 'normal', 'penis', 'urine']"
219,jantung,bernapas darah makan sulit susah tekanan tinggi,"['bernapas', 'darah', 'makan', 'sulit', 'susah', 'tekanan', 'tinggi']",<FreqDist with 7 samples and 7 outcomes>,"['bernapas', 'darah', 'makan', 'sulit', 'susah', 'tekanan']","['napas', 'darah', 'makan', 'sulit', 'susah', 'tekan']"
220,kulit dan kelamin,atau bengkak berwarna biru dan dapat gelap ke kembali kulup merah normal penis posisi sakit terasa tidak ujung,"['atau', 'bengkak', 'berwarna', 'biru', 'dan', 'dapat', 'gelap', 'ke', 'kembali', 'kulup', 'merah', 'normal', 'penis', 'posisi', 'sakit', 'terasa', 'tidak', 'ujung']",<FreqDist with 18 samples and 18 outcomes>,"['bengkak', 'berwarna', 'biru', 'gelap', 'kulup', 'merah', 'normal', 'penis', 'posisi', 'ujung']","['bengkak', 'warna', 'biru', 'gelap', 'kulup', 'merah', 'normal', 'penis', 'posisi', 'ujung']"
221,perut,atas bahu ke kiri menjalar nyeri penuh perut sakit terasa yang,"['atas', 'bahu', 'ke', 'kiri', 'menjalar', 'nyeri', 'penuh', 'perut', 'sakit', 'terasa', 'yang']",<FreqDist with 11 samples and 11 outcomes>,"['bahu', 'kiri', 'menjalar', 'nyeri', 'penuh', 'perut']","['bahu', 'kiri', 'jalar', 'nyeri', 'penuh', 'perut']"
222,kulit dan kelamin,benjolan berubah berwarna kecil kemaluan luka menjadi merah pada terbuka ulkus yang,"['benjolan', 'berubah', 'berwarna', 'kecil', 'kemaluan', 'luka', 'menjadi', 'merah', 'pada', 'terbuka', 'ulkus', 'yang']",<FreqDist with 12 samples and 12 outcomes>,"['benjolan', 'berubah', 'berwarna', 'kemaluan', 'luka', 'merah', 'terbuka', 'ulkus']","['benjol', 'ubah', 'warna', 'malu', 'luka', 'merah', 'buka', 'ulkus']"
223,perut,diare kram muntah perut,"['diare', 'kram', 'muntah', 'perut']",<FreqDist with 4 samples and 4 outcomes>,"['diare', 'kram', 'muntah', 'perut']","['diare', 'kram', 'muntah', 'perut']"
224,kulit dan kelamin,berminyak dan di gatal kekuningan kemerahan kepala ketombe kulit putih,"['berminyak', 'dan', 'di', 'gatal', 'kekuningan', 'kemerahan', 'kepala', 'ketombe', 'kulit', 'putih']",<FreqDist with 10 samples and 10 outcomes>,"['berminyak', 'gatal', 'kekuningan', 'kemerahan', 'kepala', 'ketombe', 'kulit', 'putih']","['minyak', 'gatal', 'kuning', 'merah', 'kepala', 'ketombe', 'kulit', 'putih']"
225,infeksi,berbau busuk cair dan dengan diare kelelahan tinja,"['berbau', 'busuk', 'cair', 'dan', 'dengan', 'diare', 'kelelahan', 'tinja']",<FreqDist with 8 samples and 8 outcomes>,"['berbau', 'busuk', 'cair', 'diare', 'kelelahan', 'tinja']","['bau', 'busuk', 'cair', 'diare', 'lelah', 'tinja']"
226,kanker,benjolan di nyeri pergerakan sekitar terbatas tubuh tulang yang,"['benjolan', 'di', 'nyeri', 'pergerakan', 'sekitar', 'terbatas', 'tubuh', 'tulang', 'yang']",<FreqDist with 9 samples and 9 outcomes>,"['benjolan', 'nyeri', 'pergerakan', 'terbatas', 'tubuh', 'tulang']","['benjol', 'nyeri', 'gera', 'batas', 'tubuh', 'tulang']"
227,kulit dan kelamin,anus area berbentuk dan dapat di ke kelamin kembang kol kutil menyebar paha penis seperti skrotum,"['anus', 'area', 'berbentuk', 'dan', 'dapat', 'di', 'ke', 'kelamin', 'kembang', 'kol', 'kutil', 'menyebar', 'paha', 'penis', 'seperti', 'skrotum']",<FreqDist with 16 samples and 16 outcomes>,"['anus', 'area', 'berbentuk', 'kelamin', 'kembang', 'kol', 'kutil', 'menyebar', 'paha', 'penis', 'skrotum']","['anus', 'area', 'bentuk', 'kelamin', 'kembang', 'kol', 'kutil', 'sebar', 'paha', 'penis', 'skrotum']"
228,perut,berkurang lemah makan mual muntah nafsu rasa,"['berkurang', 'lemah', 'makan', 'mual', 'muntah', 'nafsu', 'rasa']",<FreqDist with 7 samples and 7 outcomes>,"['berkurang', 'lemah', 'makan', 'mual', 'muntah', 'nafsu']","['kurang', 'lemah', 'makan', 'mual', 'muntah', 'nafsu']"
229,jantung,demam kulit mata merah ruam tinggi,"['demam', 'kulit', 'mata', 'merah', 'ruam', 'tinggi']",<FreqDist with 6 samples and 6 outcomes>,"['demam', 'kulit', 'mata', 'merah', 'ruam']","['demam', 'kulit', 'mata', 'merah', 'ruam']"
230,kanker,bengkak mual nyeri perut,"['bengkak', 'mual', 'nyeri', 'perut']",<FreqDist with 4 samples and 4 outcomes>,"['bengkak', 'mual', 'nyeri', 'perut']","['bengkak', 'mual', 'nyeri', 'perut']"
231,infeksi,atau bau dingin gigi makanan manis mulut panas sakit sensitif terhadap,"['atau', 'bau', 'dingin', 'gigi', 'makanan', 'manis', 'mulut', 'panas', 'sakit', 'sensitif', 'terhadap']",<FreqDist with 11 samples and 11 outcomes>,"['bau', 'dingin', 'gigi', 'makanan', 'manis', 'mulut', 'panas', 'sensitif']","['bau', 'dingin', 'gigi', 'makan', 'manis', 'mulut', 'panas', 'sensitif']"
